Id,Like Count,Comment Count,retweet Count,View count,Title,countOfWords,countOfPositive,countOfNegative
0,1418.0,292.0,116.0,317000.0,Politics,16,1,1
1,20200.0,134.0,1014.0,1600000.0,Politics,9,1,0
2,13100.0,1283.0,2488.0,1900000.0,Politics,48,1,4
3,8251.0,1574.0,1476.0,1700000.0,Politics,41,2,1
4,7866.0,1043.0,2971.0,725600.0,Politics,43,0,2
5,796.0,144.0,198.0,13800.0,Politics,30,2,0
6,8795.0,178.0,942.0,693100.0,Politics,21,1,0
7,595.0,49.0,261.0,109400.0,Politics,45,2,3
8,2371.0,957.0,417.0,58900.0,Politics,7,1,0
9,1348.0,41.0,345.0,154400.0,Politics,16,2,1
10,4596.0,209.0,1355.0,88300.0,Politics,49,1,1
11,202.0,26.0,90.0,16300.0,Politics,34,2,0
12,295.0,9.0,140.0,23400.0,Politics,7,1,0
13,20300.0,239.0,5145.0,1100000.0,Politics,38,3,0
14,3902.0,505.0,1515.0,157500.0,Politics,15,0,0
15,8097.0,530.0,2633.0,726800.0,Politics,37,1,4
16,1234.0,144.0,872.0,36000.0,Politics,33,1,3
17,0.0,0.0,0.0,16.0,Politics,27,1,0
18,1.0,0.0,0.0,4.0,Politics,44,0,2
19,722.0,7.0,198.0,9828.0,Politics,38,1,2
20,16.0,2.0,5.0,382.0,Politics,20,1,0
21,31.0,46.0,16.0,4753.0,Politics,8,1,0
22,242.0,22.0,34.0,3074.0,Politics,13,0,1
23,236.0,14.0,94.0,5376.0,Politics,44,1,0
24,120.0,20.0,8.0,2220.0,Politics,35,2,0
25,8356.0,1580.0,1477.0,1800000.0,Politics,41,2,1
26,220.0,121.0,72.0,33000.0,Politics,14,1,1
27,61.0,5.0,15.0,632.0,Politics,47,1,1
28,9.0,1.0,3.0,211.0,Politics,23,1,0
29,117.0,5.0,44.0,5923.0,Politics,19,1,2
30,1020.0,63.0,194.0,41900.0,Politics,14,1,1
31,11.0,2.0,2.0,308.0,Politics,13,0,1
32,142.0,4.0,83.0,4011.0,Politics,10,0,1
33,882.0,385.0,136.0,232100.0,Politics,49,1,1
34,23.0,5.0,5.0,404.0,Politics,5,0,0
35,33.0,,7.0,226.0,Politics,14,1,1
36,2653.0,105.0,662.0,118100.0,Politics,2,0,0
37,66.0,,1.0,5673.0,Politics,11,0,0
38,193.0,22.0,13.0,1884.0,Politics,40,2,1
39,380.0,50.0,218.0,13500.0,Politics,41,1,1
40,7.0,,2.0,60.0,Politics,40,1,3
41,7608.0,74.0,599.0,12500.0,Politics,15,0,1
42,185.0,4.0,4.0,23000.0,Politics,12,1,1
43,403.0,31.0,74.0,8031.0,Politics,40,2,2
44,,,,,Politics,1,0,0
45,428.0,164.0,92.0,7374.0,Politics,45,1,0
46,106.0,2.0,19.0,1506.0,Politics,14,0,0
47,0.0,0.0,0.0,10.0,Politics,13,0,0
48,0.0,0.0,0.0,8.0,Politics,10,1,1
49,20.0,0.0,5.0,116.0,Politics,40,2,3
50,0.0,1.0,1.0,23.0,Politics,9,0,1
51,0.0,0.0,0.0,10.0,Politics,7,1,0
52,0.0,0.0,0.0,5.0,Politics,8,1,1
53,0.0,0.0,0.0,3.0,Politics,29,3,0
54,0.0,0.0,0.0,11.0,Politics,12,1,0
55,1.0,0.0,0.0,4.0,Politics,18,2,0
56,23.0,1.0,1.0,757.0,Politics,29,2,1
57,0.0,0.0,6.0,17.0,Politics,10,0,0
58,32.0,0.0,13.0,3641.0,Science,27,0,0
59,1205.0,63.0,592.0,67000.0,Science,7,1,0
60,187.0,19.0,71.0,17000.0,Science,22,1,0
61,55.0,14.0,15.0,4476.0,Science,43,2,1
62,337.0,49.0,337.0,13000.0,Science,16,1,0
63,122.0,42.0,28.0,47000.0,Science,17,1,0
64,419.0,39.0,70.0,21000.0,Science,25,1,0
65,127.0,50.0,63.0,1353.0,Science,1,0,0
66,63000.0,3289.0,3790.0,3000000.0,Science,2,0,0
67,128.0,9.0,58.0,7782.0,Science,16,0,2
68,43.0,9.0,14.0,1996.0,Science,6,0,1
69,12.0,11.0,2.0,193.0,Science,16,0,0
70,54.0,6.0,35.0,3997.0,Science,12,1,0
71,22.0,8.0,19.0,2064.0,Science,43,1,0
72,540.0,37.0,225.0,11000.0,Science,30,0,0
73,390.0,6.0,59.0,12000.0,Science,18,0,0
74,13.0,16.0,5.0,2682.0,Science,10,0,1
75,15.0,1.0,1.0,366.0,Science,39,2,1
76,15000.0,873.0,2407.0,760000.0,Science,23,0,2
77,7.0,1.0,4.0,415.0,Science,6,0,0
78,14.0,,45.0,295.0,Science,1,0,0
79,137.0,8.0,7.0,9215.0,Science,3,0,0
80,0.0,,0.0,,Science,6,0,0
81,24.0,1.0,21.0,356.0,Science,7,0,0
82,29.0,2.0,5.0,971.0,Science,42,0,1
83,10.0,0.0,1.0,1442.0,Science,20,0,0
84,197.0,9.0,2.0,6625.0,Science,9,0,0
85,1266.0,84.0,119.0,29000.0,Science,15,0,0
86,41.0,9.0,3.0,1443.0,Science,16,2,0
87,35.0,,13.0,3711.0,Science,27,0,0
88,23.0,6.0,27.0,14000.0,Science,28,0,0
89,8.0,1.0,1.0,116.0,Science,11,1,0
90,5.0,0.0,1.0,591.0,Science,13,0,0
91,3.0,,2.0,28.0,Science,14,0,0
92,1.0,1.0,0.0,43.0,Science,13,0,0
93,20.0,1.0,3.0,456.0,Science,25,1,0
94,0.0,,0.0,,Science,39,0,0
95,126.0,2.0,56.0,7503.0,Science,33,0,2
96,27.0,4.0,17.0,16000.0,Science,18,0,0
97,77.0,5.0,13.0,14000.0,Science,21,0,0
98,16.0,2.0,5.0,2936.0,Science,13,0,1
99,10.0,,1.0,302.0,Science,38,0,0
100,21.0,2.0,12.0,924.0,Science,42,0,1
101,11.0,5.0,2.0,298.0,Science,9,1,0
102,1.0,0.0,1.0,21.0,Science,30,0,0
103,11.0,,7.0,223.0,Science,22,0,2
104,0.0,0.0,0.0,8.0,Science,47,1,2
105,13.0,4.0,1.0,784.0,Science,20,2,0
106,47.0,0.0,17.0,7314.0,Science,12,0,1
107,1308.0,337.0,15.0,100000.0,Science,32,0,0
108,8.0,0.0,1.0,306.0,Science,12,0,0
109,0.0,0.0,0.0,13.0,Science,18,0,0
110,3.0,2.0,0.0,222.0,Science,12,0,1
111,7.0,1.0,16.0,3401.0,Science,28,0,0
112,12.0,,1.0,163.0,Science,46,2,0
113,87.0,9.0,42.0,798.0,Science,7,0,0
114,218.0,5.0,76.0,10000.0,Science,41,3,4
115,211.0,19.0,60.0,18000.0,Science,21,1,2
116,7133.0,204.0,1534.0,158000.0,Science,44,0,1
117,460.0,21.0,217.0,8982.0,Science,25,1,0
118,66.0,6.0,5.0,2877.0,Science,23,0,0
119,57.0,5.0,32.0,922.0,Science,29,0,0
120,16.0,4.0,3.0,392.0,Science,15,0,0
121,975.0,67.0,137.0,41000.0,Science,19,1,1
122,3.0,3.0,4.0,309.0,Science,10,0,0
123,0.0,0.0,0.0,6.0,Art,7,1,0
124,0.0,1.0,0.0,1.0,Art,41,0,0
125,2.0,3.0,0.0,1.0,Art,19,0,1
126,3.0,,0.0,33.0,Art,4,0,0
127,177.0,1.0,5.0,4356.0,Art,10,1,0
128,6.0,1.0,0.0,424.0,Art,11,0,0
129,328.0,24.0,42.0,7753.0,Art,20,0,0
130,0.0,0.0,0.0,,Art,7,0,0
131,0.0,,0.0,0.0,Art,13,0,0
132,0.0,0.0,0.0,12.0,Art,11,2,0
133,0.0,0.0,0.0,4.0,Art,16,0,0
134,0.0,0.0,6.0,,Art,47,1,3
135,1.0,0.0,1.0,38.0,Art,14,0,0
136,0.0,0.0,0.0,7.0,Art,6,0,0
137,0.0,1.0,0.0,8.0,Art,6,0,0
138,0.0,0.0,0.0,12.0,Art,15,1,1
139,0.0,,0.0,38.0,Art,35,1,1
140,0.0,0.0,0.0,1.0,Art,13,0,0
141,43.0,3.0,5.0,391.0,Art,23,0,0
142,0.0,0.0,0.0,13.0,Art,8,0,0
143,1.0,1.0,0.0,33.0,Art,16,1,0
144,0.0,0.0,1.0,959.0,Art,8,0,0
145,6.0,1.0,0.0,115.0,Art,6,1,0
146,25.0,1.0,15.0,792.0,Art,13,0,0
147,8.0,1.0,1.0,271.0,Art,14,0,0
148,2.0,1.0,0.0,55.0,Art,7,0,1
149,30.0,2.0,1.0,1380.0,Art,15,0,0
150,1.0,1.0,0.0,217.0,Art,47,2,1
151,5.0,2.0,1.0,695.0,Art,14,0,0
152,1.0,,0.0,3.0,Art,6,1,0
153,1.0,1.0,0.0,8.0,Art,31,2,1
154,12.0,1.0,5.0,1249.0,Art,11,1,0
155,102.0,491.0,,,Art,2,0,0
156,2.0,0.0,1.0,88.0,Art,31,0,0
157,14.0,,4.0,246.0,Art,24,1,0
158,12.0,2.0,2.0,771.0,Art,8,0,0
159,178.0,9.0,0.0,6531.0,Art,24,3,0
160,80.0,1.0,4.0,1149.0,Art,20,0,0
161,50900.0,389.0,10500.0,3900000.0,Art,12,1,0
162,78900.0,993.0,14100.0,5900.0,Art,15,0,0
163,4039.0,8.0,835.0,124000.0,Art,6,1,0
164,7858.0,89.0,1247.0,724800.0,Art,24,1,2
165,19100.0,41.0,1757.0,452600.0,Art,10,1,0
166,813.0,28.0,159.0,16100.0,Art,10,1,1
167,14700.0,62.0,1380.0,467700.0,Art,21,2,1
168,9586.0,28.0,881.0,318100.0,Art,27,1,0
169,8963.0,65.0,1211.0,1600000.0,Art,13,1,0
170,46200.0,625.0,5182.0,6000000.0,Art,9,1,0
171,28100.0,108.0,2603.0,1300000.0,Art,12,1,1
172,6682.0,11.0,517.0,139800.0,Art,18,1,0
173,20200.0,71.0,1302.0,879800.0,Art,20,2,1
174,8765.0,6.0,1165.0,240600.0,Art,9,1,0
175,770.0,7.0,125.0,15100.0,Art,10,2,0
176,24300.0,17.0,2884.0,551700.0,Art,6,2,0
177,821.0,3.0,78.0,73200.0,Art,22,1,1
178,1542.0,83.0,153.0,94500.0,Art,12,0,1
179,2208.0,240.0,463.0,740700.0,Art,13,1,0
180,301.0,113.0,35.0,10300.0,Art,9,1,0
181,467.0,,166.0,7251.0,Art,6,1,0
182,95.0,2.0,18.0,3405.0,Art,13,1,0
183,57.0,9.0,8.0,108.0,Art,7,1,0
184,331.0,5.0,40.0,6986.0,Art,10,1,0
185,2164.0,6.0,526.0,112200.0,Art,4,1,0
186,108.0,,29.0,2587.0,Art,11,1,0
187,71.0,2.0,6.0,2930.0,Art,19,2,2
188,1.0,0.0,0.0,,Art,17,1,0
189,0.0,0.0,0.0,,Art,30,1,0
190,0.0,0.0,0.0,,Art,18,1,0
191,0.0,0.0,0.0,1.0,Art,14,0,0
192,0.0,1.0,0.0,3.0,Art,4,2,0
193,3.0,5.0,0.0,30.0,Art,23,1,0
194,1.0,0.0,1.0,24.0,Art,6,1,0
195,0.0,0.0,0.0,,Art,15,1,0
196,0.0,1.0,0.0,27.0,Art,10,1,0
197,1.0,0.0,0.0,29.0,Art,12,1,0
198,0.0,0.0,0.0,25.0,Art,15,1,0
199,0.0,0.0,0.0,17.0,Art,19,1,1
200,2.0,1.0,2.0,159.0,Art,13,1,0
201,5.0,0.0,0.0,158.0,Art,19,1,0
202,2.0,1.0,0.0,48.0,Art,17,1,0
203,16.0,1.0,5.0,459.0,Art,41,1,3
204,1.0,0.0,0.0,22.0,Art,10,1,0
205,0.0,0.0,0.0,23.0,Art,13,1,0
206,49.0,10.0,21.0,2596.0,Health,7,0,1
207,457.0,24.0,80.0,15000.0,Health,41,1,1
208,206.0,3.0,108.0,6393.0,Health,8,0,1
209,222.0,14.0,267.0,10000.0,Health,5,1,0
210,3224.0,19.0,1019.0,175000.0,Health,39,1,0
211,385.0,16.0,192.0,27000.0,Health,28,1,2
212,178.0,15.0,67.0,11000.0,Health,47,1,1
213,851.0,132.0,426.0,65000.0,Health,14,0,0
214,77.0,40.0,26.0,2145.0,Health,30,0,2
215,2733.0,98.0,895.0,141000.0,Health,36,0,1
216,43.0,21.0,10.0,1488.0,Health,29,2,1
217,86.0,5.0,18.0,1172.0,Health,48,1,1
218,1145.0,61.0,672.0,61000.0,Health,32,1,3
219,116.0,13.0,34.0,2326.0,Health,11,0,0
220,371.0,20.0,159.0,12000.0,Health,12,0,2
221,312.0,41.0,139.0,75000.0,Health,19,0,0
222,532.0,143.0,352.0,15000.0,Health,22,0,0
223,740.0,3.0,238.0,15000.0,Health,41,1,0
224,2082.0,3.0,588.0,59000.0,Health,50,0,1
225,83000.0,4820.0,19000.0,8000000.0,Health,16,1,0
226,82.0,16.0,35.0,7289.0,Health,16,1,0
227,749.0,35.0,103.0,14000.0,Health,38,1,2
228,2406.0,75.0,710.0,229000.0,Health,38,1,2
229,1059.0,9.0,117.0,19000.0,Health,55,0,0
230,54.0,2.0,18.0,10000.0,Health,37,0,4
231,3557.0,120.0,573.0,57000.0,Health,21,0,1
232,425.0,4.0,56.0,9029.0,Health,44,0,2
233,3159.0,432.0,912.0,229000.0,Health,25,1,1
234,144.0,12.0,89.0,3636.0,Health,32,0,0
235,63.0,6.0,22.0,1708.0,Health,11,0,0
236,254.0,18.0,124.0,18000.0,Health,47,1,3
237,386.0,57.0,305.0,9844.0,Health,14,0,1
238,74.0,5.0,10.0,1341.0,Health,44,1,2
239,161.0,4.0,27.0,3091.0,Health,41,0,3
240,31.0,25.0,21.0,9876.0,Health,14,0,1
241,1604.0,28.0,486.0,276000.0,Health,6,0,0
242,121.0,5.0,50.0,2296.0,Health,7,0,1
243,279.0,178.0,81.0,24000.0,Health,12,0,1
244,2586.0,115.0,1241.0,115000.0,Health,22,0,1
245,15.0,32.0,4.0,10000.0,Health,28,0,0
246,91.0,1.0,40.0,6589.0,Health,39,0,1
247,699.0,398.0,132.0,87000.0,Health,44,1,1
248,103.0,17.0,11.0,2399.0,Health,41,1,1
249,1330.0,44.0,925.0,92000.0,Health,53,0,3
250,1468.0,49.0,800.0,51000.0,Health,24,0,1
251,162.0,14.0,54.0,5327.0,Health,39,0,1
252,1052.0,206.0,1428.0,2000000.0,Health,17,0,1
253,35000.0,2495.0,9584.0,12000000.0,Sport,21,2,0
254,23000.0,67.0,1038.0,511000.0,Sport,7,0,0
255,3869.0,25.0,216.0,134000.0,Sport,45,0,0
256,9084.0,109.0,432.0,584000.0,Sport,32,0,0
257,21000.0,319.0,2915.0,921000.0,Sport,38,2,0
258,2705.0,20.0,317.0,114000.0,Sport,24,0,0
259,3102.0,46.0,378.0,356000.0,Sport,27,2,0
260,2636.0,182.0,543.0,377000.0,Sport,10,1,0
261,33000.0,123.0,2389.0,1000000.0,Sport,26,1,1
262,1758.0,58.0,55.0,58000.0,Sport,22,2,0
263,13000.0,92.0,920.0,355000.0,Sport,24,2,0
264,28000.0,261.0,1586.0,490000.0,Sport,2,1,0
265,1019.0,150.0,301.0,527000.0,Sport,21,1,0
266,36000.0,965.0,9536.0,2000000.0,Sport,10,0,0
267,8447.0,239.0,312.0,180000.0,Sport,10,2,0
268,23000.0,87.0,765.0,636000.0,Sport,12,0,0
269,1679.0,19.0,503.0,122000.0,Sport,14,2,1
270,10000.0,71.0,805.0,367000.0,Sport,9,1,0
271,3846.0,80.0,246.0,173000.0,Sport,13,1,0
272,15000.0,171.0,1172.0,340000.0,Sport,20,0,0
273,5752.0,6.0,339.0,83000.0,Sport,4,0,0
274,2197.0,14.0,176.0,52000.0,Sport,35,2,0
275,274.0,10.0,23.0,19000.0,Sport,20,2,0
276,224.0,22.0,15.0,19000.0,Sport,57,1,2
277,140.0,51.0,22.0,10000.0,Sport,18,1,0
278,12000.0,193.0,718.0,397000.0,Sport,12,0,0
279,462.0,7.0,59.0,85000.0,Sport,43,0,2
280,4506.0,104.0,212.0,250000.0,Sport,14,1,0
281,139.0,58.0,8.0,3493.0,Sport,39,2,1
282,718.0,6.0,31.0,15000.0,Sport,9,2,0
283,119.0,2.0,9.0,3900.0,Sport,12,1,0
284,1016.0,12.0,93.0,109000.0,Sport,40,1,1
285,10000.0,86.0,579.0,276000.0,Sport,2,1,0
